1,1,57.51,62.54,116.48000000000002,57.46,1,1,0.0
1,2,0.84,13.75,14.95,32.27,1,1,1.0
1,3,96.86,0.37,219.57999999999998,64.53999999999999,1,1,1.0
1,4,313.29,2.73,395.86999999999995,109.39999999999999,1,1,1.0
2,1,38.56,58.03,115.74000000000001,57.459999999999994,1,1,0.0
2,2,0.84,13.75,8.96,32.27,1,1,1.0
2,3,96.85,0.37,219.58,64.53999999999999,1,1,1.0
2,4,314.44,1.19,395.88000000000005,109.4,1,1,1.0
3,1,20.87,55.73,113.03,56.27,1,1,0.0
3,3,96.84,0.37,219.58,64.53999999999999,1,1,1.0
3,4,312.52,1.19,395.87,109.4,1,1,1.0
4,1,3.57,52.26,110.33000000000001,54.74,1,1,0.0
4,3,96.83,0.37,219.58000000000004,64.53999999999999,1,1,1.0
4,4,312.52,1.19,395.87,109.4,1,1,1.0
5,1,0.49,49.96,93.81,52.04,1,1,0.0
5,3,96.82,0.37,219.57999999999998,64.53999999999999,1,1,1.0
5,4,312.52,1.19,395.87,109.4,1,1,1.0
6,1,0.1,48.42,76.9,50.480000000000004,1,1,0.0
6,3,96.81,0.37,219.57999999999998,64.53999999999999,1,1,1.0
6,4,312.52,1.19,395.87,109.4,1,1,1.0
7,1,1.63,45.36,60.07,50.480000000000004,1,1,0.0
7,3,96.79,0.37,219.57999999999998,64.53999999999999,1,1,1.0
7,4,312.52,1.19,395.87,109.4,1,1,1.0
8,1,1.63,40.01,44.07,50.48,1,1,0.0
8,3,96.78,0.37,219.58,64.53999999999999,1,1,1.0
8,4,312.52,1.19,395.87,109.4,1,1,1.0
9,1,1.63,40.01,27.27,50.48,1,1,0.0
9,3,96.77,0.37,219.58000000000004,64.53999999999999,1,1,1.0
9,4,312.52,1.19,395.87,109.4,1,1,1.0
10,3,96.76,0.37,219.57999999999998,64.53999999999999,1,1,1.0
10,4,312.52,1.19,395.87,109.4,1,1,1.0
11,3,96.75,0.37,219.57999999999998,64.53999999999999,1,1,1.0
11,4,312.52,1.19,395.87,109.4,1,1,1.0
11,5,874.42,174.71,84.82000000000005,100.86999999999998,1,1,1.0
12,3,96.74,0.37,219.57999999999998,64.53999999999999,1,1,1.0
12,4,312.52,1.19,395.87,109.4,1,1,1.0
12,5,827.81,165.5,131.3900000000001,91.74000000000001,1,1,1.0
13,3,96.73,0.37,219.57999999999998,64.53999999999999,1,1,1.0
13,4,312.52,1.19,395.87,109.4,1,1,1.0
